             JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458166.625694444, A.D. 2018-Feb-17 03:01:00.0000, -8.534766440847641E-01,  5.068918505320099E-01, -3.900255805803503E-03, -1.071749488710968E-02, -1.607754344192898E-02, -3.616905880138249E-04,  5.733134947754659E-03,  9.926615446008308E-01,  1.006351573914691E-03,
2458167.625694444, A.D. 2018-Feb-18 03:01:00.0000, -8.640639655394060E-01,  4.907392169413641E-01, -4.261154831641483E-03, -1.045679096023176E-02, -1.622687228887102E-02, -3.601009005318298E-04,  5.739161577228922E-03,  9.937050231474158E-01,  1.080509893929838E-03,
2458168.625694444, A.D. 2018-Feb-19 03:01:00.0000, -8.743895275875481E-01,  4.744398263869671E-01, -4.620441966274813E-03, -1.019399246055847E-02, -1.637104069680879E-02, -3.584644777856696E-04,  5.745614821246315E-03,  9.948223677123643E-01,  1.154078202732320E-03,
2458169.625694444, A.D. 2018-Feb-20 03:01:00.0000, -8.844512878218509E-01,  4.579988854145507E-01, -4.978064316116053E-03, -9.929206486939310E-03, -1.650996013229995E-02, -3.567697637701256E-04,  5.752491179012852E-03,  9.960129721519879E-01,  1.227024328588868E-03,
2458170.625694444, A.D. 2018-Feb-21 03:01:00.0000, -8.942473181977201E-01,  4.414216790689532E-01, -5.333959433702004E-03, -9.662553715768562E-03, -1.664356121399484E-02, -3.550089522434261E-04,  5.759786965608094E-03,  9.972761984420909E-01,  1.299316694686016E-03,
2458171.625694444, A.D. 2018-Feb-22 03:01:00.0000, -9.037758161434416E-01,  4.247135541106774E-01, -5.688058411903732E-03, -9.394163811188950E-03, -1.677178931827350E-02, -3.531767726656696E-04,  5.767498315654505E-03,  9.986113773132992E-01,  1.370924402122231E-03,
2458172.625694444, A.D. 2018-Feb-23 03:01:00.0000, -9.130351119542189E-01,  4.078799057590588E-01, -6.040288009459028E-03, -9.124172439034697E-03, -1.689460177689293E-02, -3.512697261999548E-04,  5.775621187485141E-03,  1.000017808972675E+00,  1.441817316797781E-03,
2458173.625694444, A.D. 2018-Feb-24 03:01:00.0000, -9.220236737165874E-01,  3.909261667271739E-01, -6.390572156684387E-03, -8.852719234928365E-03, -1.701196601701337E-02, -3.492855877856379E-04,  5.784151367797998E-03,  1.001494763909589E+00,  1.511966150164410E-03,
2458174.625694444, A.D. 2018-Feb-25 03:01:00.0000, -9.307401105188022E-01,  3.738577978053478E-01, -6.738833051314999E-03, -8.579946362890679E-03, -1.712385827839847E-02, -3.472230715740047E-04,  5.793084476750848E-03,  1.003041483777870E+00,  1.581342530805543E-03,
2458175.625694444, A.D. 2018-Feb-26 03:01:00.0000, -9.391831744225844E-01,  3.566802795321252E-01, -7.084991975379334E-03, -8.305997452634422E-03, -1.723026269423343E-02, -3.450815999939307E-04,  5.802415973441934E-03,  1.004657182344748E+00,  1.649919066539822E-03,
