            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2453775.500000000, A.D. 2006-Feb-09 00:00:00.0000,      65.184985, -6.452941531085217E+08, -4.943220732129159E+08,  1.649202064385670E+07,  7.788694068134195E+00, -9.766257341508441E+00, -1.337720714256441E-01,
2453778.500000000, A.D. 2006-Feb-12 00:00:00.0000,      65.185053, -6.432698420277987E+08, -4.968493646942334E+08,  1.645721235115924E+07,  7.829827479982558E+00, -9.734000195623089E+00, -1.348118205171116E-01,
2453781.500000000, A.D. 2006-Feb-15 00:00:00.0000,      65.185119, -6.412347147781485E+08, -4.993686825545626E+08,  1.642212168108419E+07,  7.874226787228077E+00, -9.702706218824373E+00, -1.358494813948075E-01,
2453784.500000000, A.D. 2006-Feb-18 00:00:00.0000,      65.185181, -6.391888409590526E+08, -5.018792192673510E+08,  1.638677674451026E+07,  7.912554364229207E+00, -9.670266033067030E+00, -1.369256624806932E-01,
2453787.500000000, A.D. 2006-Feb-21 00:00:00.0000,      65.185240, -6.371326123365248E+08, -5.043815892856325E+08,  1.635114927577543E+07,  7.953501960628889E+00, -9.638353211469102E+00, -1.379888992080098E-01,
2453790.500000000, A.D. 2006-Feb-24 00:00:00.0000,      65.185296, -6.350656193395796E+08, -5.068755773359041E+08,  1.631525195133525E+07,  7.994992254309885E+00, -9.605015130334182E+00, -1.389868538576202E-01,
2453793.500000000, A.D. 2006-Feb-27 00:00:00.0000,      65.185348, -6.329883639769411E+08, -5.093611555451814E+08,  1.627907944833300E+07,  8.034386916673673E+00, -9.575126051469956E+00, -1.401483752354373E-01,
2453796.500000000, A.D. 2006-Mar-02 00:00:00.0000,      65.185396, -6.309001703338562E+08, -5.118385196415378E+08,  1.624263192319590E+07,  8.076099947539293E+00, -9.539974939480887E+00, -1.410946713015759E-01,
2453799.500000000, A.D. 2006-Mar-05 00:00:00.0000,      65.185441, -6.288015281918138E+08, -5.143070464176925E+08,  1.620592530763838E+07,  8.116578487678883E+00, -9.506226953025237E+00, -1.421071560661984E-01,
2453802.500000000, A.D. 2006-Mar-08 00:00:00.0000,      65.185481, -6.266925701093754E+08, -5.167671766132000E+08,  1.616894028845602E+07,  8.158210728993398E+00, -9.475052956026136E+00, -1.432040256507463E-01,
2453805.500000000, A.D. 2006-Mar-11 00:00:00.0000,      65.185518, -6.245730666726576E+08, -5.192184070923592E+08,  1.613169840792358E+07,  8.195662900760354E+00, -9.440577347690965E+00, -1.442312240280095E-01,
2453808.500000000, A.D. 2006-Mar-14 00:00:00.0000,      65.185550, -6.224434873858197E+08, -5.216612604005705E+08,  1.609417435986006E+07,  8.236537711952439E+00, -9.408368592185388E+00, -1.452969443955157E-01,
2453811.500000000, A.D. 2006-Mar-17 00:00:00.0000,      65.185579, -6.203031956236633E+08, -5.240955577929419E+08,  1.605638180217126E+07,  8.277921488325596E+00, -9.374394089374624E+00, -1.462930699371316E-01,
2453814.500000000, A.D. 2006-Mar-20 00:00:00.0000,      65.185603, -6.181526740209392E+08, -5.265208880986769E+08,  1.601832933063322E+07,  8.315546131330120E+00, -9.341277862559082E+00, -1.473808476918737E-01,
2453817.500000000, A.D. 2006-Mar-23 00:00:00.0000,      65.185622, -6.159916512488484E+08, -5.289376579300827E+08,  1.598000398008159E+07,  8.357143635924555E+00, -9.305055499388331E+00, -1.483066652951397E-01,
2453820.500000000, A.D. 2006-Mar-26 00:00:00.0000,      65.185638, -6.138204965800252E+08, -5.313452468702970E+08,  1.594142371702793E+07,  8.396125962503588E+00, -9.271132712686537E+00, -1.493448211945352E-01,
2453823.500000000, A.D. 2006-Mar-29 00:00:00.0000,      65.185648, -6.116394006531296E+08, -5.337442270504870E+08,  1.590256476411581E+07,  8.435493678320329E+00, -9.239686759278731E+00, -1.504742471529892E-01,
2453826.500000000, A.D. 2006-Apr-01 00:00:00.0000,      65.185655, -6.094477768788255E+08, -5.361342746132023E+08,  1.586344642131755E+07,  8.473897413812937E+00, -9.203124947628908E+00, -1.514251640978439E-01,
2453829.500000000, A.D. 2006-Apr-04 00:00:00.0000,      65.185657, -6.072462018115541E+08, -5.385154715658946E+08,  1.582405764542115E+07,  8.514145633735680E+00, -9.169941087033891E+00, -1.524788097600704E-01,
2453832.500000000, A.D. 2006-Apr-07 00:00:00.0000,      65.185655, -6.050341453030909E+08, -5.408877265954272E+08,  1.578440693880305E+07,  8.553960280129631E+00, -9.134513948120540E+00, -1.534634814710691E-01,
2453835.500000000, A.D. 2006-Apr-10 00:00:00.0000,      65.185648, -6.028121330386971E+08, -5.432505659182730E+08,  1.574450511314863E+07,  8.590021888015597E+00, -9.098689180615665E+00, -1.544869919494376E-01,
