             JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2455207.500000000, A.D. 2010-Jan-11 00:00:00.0000, -8.468191626863130E-01,  1.398512310146152E+00,  5.009786276644838E-02, -1.144029179516540E-02, -6.059018844205811E-03,  1.539647472617197E-04,  9.446900017467411E-03,  1.635680033434670E+00,  7.470649256829218E-04,
2455208.500000000, A.D. 2010-Jan-12 00:00:00.0000, -8.582307099037169E-01,  1.392406098204508E+00,  5.025013274503279E-02, -1.138268717295802E-02, -6.153314870812667E-03,  1.505742498606863E-04,  9.451190213293791E-03,  1.636422857815129E+00,  7.385773872804704E-04,
2455209.500000000, A.D. 2010-Jan-13 00:00:00.0000, -8.695843070103815E-01,  1.386205861344769E+00,  5.039900942442423E-02, -1.132439240299646E-02, -6.247068059724612E-03,  1.471781859098179E-04,  9.455431278341269E-03,  1.637157175464922E+00,  7.300515870766519E-04,
2455210.500000000, A.D. 2010-Jan-14 00:00:00.0000, -8.808792663252424E-01,  1.379912144163381E+00,  5.054448733133327E-02, -1.126541243144736E-02, -6.340274916138108E-03,  1.437767480702998E-04,  9.459622993217089E-03,  1.637882948397371E+00,  7.214880688078680E-04,
2455211.500000000, A.D. 2010-Jan-15 00:00:00.0000, -8.921149051102841E-01,  1.373525494744967E+00,  5.068656118666970E-02, -1.120575218913027E-02, -6.432931971649907E-03,  1.403701262221929E-04,  9.463765141726749E-03,  1.638600139179558E+00,  7.128873804750066E-04,
2455212.500000000, A.D. 2010-Jan-16 00:00:00.0000, -9.032905455603504E-01,  1.367046464624449E+00,  5.082522590451573E-02, -1.114541659564692E-02, -6.525035782217241E-03,  1.369585098135732E-04,  9.467857510857370E-03,  1.639308710929447E+00,  7.042500775204444E-04,
2455213.500000000, A.D. 2010-Jan-17 00:00:00.0000, -9.144055147937823E-01,  1.360475608750786E+00,  5.096047659164567E-02, -1.108441056684786E-02, -6.616582939084069E-03,  1.335420908132001E-04,  9.471899890768944E-03,  1.640008627314366E+00,  6.955767172546200E-04,
2455214.500000000, A.D. 2010-Jan-18 00:00:00.0000, -9.254591448424334E-01,  1.353813485451847E+00,  5.109230854682275E-02, -1.102273901730251E-02, -6.707570078281891E-03,  1.301210641613132E-04,  9.475892074786420E-03,  1.640699852549640E+00,  6.868678521486337E-04,
2455215.500000000, A.D. 2010-Jan-19 00:00:00.0000, -9.364507726405910E-01,  1.347060656399193E+00,  5.122071725950169E-02, -1.096040685555115E-02, -6.797993878758396E-03,  1.266956254517830E-04,  9.479833859384935E-03,  1.641382351396031E+00,  6.781240286157080E-04,
2455216.500000000, A.D. 2010-Jan-20 00:00:00.0000, -9.473797400138922E-01,  1.340217686572408E+00,  5.134569840844062E-02, -1.089741897565366E-02, -6.887851056471449E-03,  1.232659670655480E-04,  9.483725044170048E-03,  1.642056089156317E+00,  6.693457866907722E-04,
2455217.500000000, A.D. 2010-Jan-21 00:00:00.0000, -9.582453936690850E-01,  1.333285144224148E+00,  5.146724786075432E-02, -1.083378025074064E-02, -6.977138361804466E-03,  1.198322750218031E-04,  9.487565431861657E-03,  1.642721031672507E+00,  6.605336577450003E-04,
2455218.500000000, A.D. 2010-Jan-22 00:00:00.0000, -9.690470851840134E-01,  1.326263600847109E+00,  5.158536167120340E-02, -1.076949553444658E-02, -7.065852576289969E-03,  1.163947298196258E-04,  9.491354828285224E-03,  1.643377145324323E+00,  6.516881672317264E-04,
2455219.500000000, A.D. 2010-Jan-23 00:00:00.0000, -9.797841709968790E-01,  1.319153631142580E+00,  5.170003608120233E-02, -1.070456967103677E-02, -7.153990506191670E-03,  1.129535120744316E-04,  9.495093042365243E-03,  1.644024397028065E+00,  6.428098452632099E-04,
