 *******************************************************************************
Target body name: Venus (299)                     {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2018-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2019-Jan-02 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}   
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2458119.916666667, A.D. 2018-Jan-01 10:00:00.0000,      69.183934,  1.188620546051805E+07, -1.081363717766651E+08, -2.169254789812982E+06,  3.457498235669448E+01,  3.701656705288852E+00, -1.944423966091119E+00,
2458119.958333333, A.D. 2018-Jan-01 11:00:00.0000,      69.183935,  1.201066743441323E+07, -1.081229736284620E+08, -2.176253266426809E+06,  3.457055101316719E+01,  3.741758044232576E+00, -1.943618166388699E+00,
2458120.000000000, A.D. 2018-Jan-01 12:00:00.0000,      69.183937,  1.213511337249939E+07, -1.081094311253941E+08, -2.183248837510206E+06,  3.456607357508763E+01,  3.781853843678865E+00, -1.942809782705123E+00,
2458120.041666667, A.D. 2018-Jan-01 13:00:00.0000,      69.183938,  1.225954310884895E+07, -1.080957442874979E+08, -2.190241493762866E+06,  3.456155004958401E+01,  3.821944051136720E+00, -1.941998816171783E+00,
2458120.083333333, A.D. 2018-Jan-01 14:00:00.0000,      69.183939,  1.238395647756011E+07, -1.080819131349992E+08, -2.197231225888580E+06,  3.455698044384261E+01,  3.862028614125110E+00, -1.941185267923292E+00,
2458120.125000000, A.D. 2018-Jan-01 15:00:00.0000,      69.183940,  1.250835331275702E+07, -1.080679376883125E+08, -2.204218024595223E+06,  3.455236476510779E+01,  3.902107480173037E+00, -1.940369139097475E+00,
2458120.166666667, A.D. 2018-Jan-01 16:00:00.0000,      69.183942,  1.263273344859005E+07, -1.080538179680413E+08, -2.211201880594768E+06,  3.454770302068193E+01,  3.942180596819584E+00, -1.939550430835366E+00,
2458120.208333333, A.D. 2018-Jan-01 17:00:00.0000,      69.183943,  1.275709671923594E+07, -1.080395539949777E+08, -2.218182784603298E+06,  3.454299521792550E+01,  3.982247911613985E+00, -1.938729144281214E+00,
2458120.250000000, A.D. 2018-Jan-01 18:00:00.0000,      69.183944,  1.288144295889802E+07, -1.080251457901028E+08, -2.225160727341019E+06,  3.453824136425698E+01,  4.022309372115683E+00, -1.937905280582472E+00,
2458120.291666667, A.D. 2018-Jan-01 19:00:00.0000,      69.183945,  1.300577200180646E+07, -1.080105933745865E+08, -2.232135699532293E+06,  3.453344146715283E+01,  4.062364925894395E+00, -1.937078840889803E+00,
2458120.333333333, A.D. 2018-Jan-01 20:00:00.0000,      69.183946,  1.313008368221844E+07, -1.079958967697873E+08, -2.239107691905610E+06,  3.452859553414756E+01,  4.102414520530166E+00, -1.936249826357074E+00,
2458120.375000000, A.D. 2018-Jan-01 21:00:00.0000,      69.183948,  1.325437783441835E+07, -1.079810559972526E+08, -2.246076695193648E+06,  3.452370357283361E+01,  4.142458103613433E+00, -1.935418238141356E+00,
2458120.416666667, A.D. 2018-Jan-01 22:00:00.0000,      69.183949,  1.337865429271805E+07, -1.079660710787181E+08, -2.253042700133204E+06,  3.451876559086144E+01,  4.182495622745090E+00, -1.934584077402921E+00,
2458120.458333333, A.D. 2018-Jan-01 23:00:00.0000,      69.183950,  1.350291289145701E+07, -1.079509420361084E+08, -2.260005697465308E+06,  3.451378159593941E+01,  4.222527025536535E+00, -1.933747345305238E+00,
2458120.500000000, A.D. 2018-Jan-02 00:00:00.0000,      69.183951,  1.362715346500259E+07, -1.079356688915367E+08, -2.266965677935176E+06,  3.450875159583385E+01,  4.262552259609751E+00, -1.932908043014981E+00,
2458120.541666667, A.D. 2018-Jan-02 01:00:00.0000,      69.183952,  1.375137584775018E+07, -1.079202516673045E+08, -2.273922632292189E+06,  3.450367559836899E+01,  4.302571272597350E+00, -1.932066171702014E+00,
2458120.583333333, A.D. 2018-Jan-02 02:00:00.0000,      69.183954,  1.387557987412347E+07, -1.079046903859021E+08, -2.280876551290005E+06,  3.449855361142696E+01,  4.342584012142638E+00, -1.931221732539399E+00,
2458120.625000000, A.D. 2018-Jan-02 03:00:00.0000,      69.183955,  1.399976537857461E+07, -1.078889850700080E+08, -2.287827425686471E+06,  3.449338564294779E+01,  4.382590425899682E+00, -1.930374726703390E+00,
2458120.666666667, A.D. 2018-Jan-02 04:00:00.0000,      69.183956,  1.412393219558444E+07, -1.078731357424894E+08, -2.294775246243685E+06,  3.448817170092936E+01,  4.422590461533363E+00, -1.929525155373433E+00,
2458120.708333333, A.D. 2018-Jan-02 05:00:00.0000,      69.183957,  1.424808015966272E+07, -1.078571424264015E+08, -2.301720003727980E+06,  3.448291179342745E+01,  4.462584066719439E+00, -1.928673019732162E+00,
2458120.750000000, A.D. 2018-Jan-02 06:00:00.0000,      69.183958,  1.437220910534828E+07, -1.078410051449883E+08, -2.308661688910000E+06,  3.447760592855563E+01,  4.502571189144605E+00, -1.927818320965400E+00,
2458120.791666667, A.D. 2018-Jan-02 07:00:00.0000,      69.183960,  1.449631886720928E+07, -1.078247239216818E+08, -2.315600292564601E+06,  3.447225411448533E+01,  4.542551776506555E+00, -1.926961060262156E+00,
2458120.833333333, A.D. 2018-Jan-02 08:00:00.0000,      69.183961,  1.462040927984340E+07, -1.078082987801023E+08, -2.322535805470988E+06,  3.446685635944575E+01,  4.582525776514042E+00, -1.926101238814622E+00,
